age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.089,3103.,3.227,0.9874
0.0000,0.064,-1.032,3113.,3.201,1.0475
0.0000,0.067,-0.976,3123.,3.175,1.1108
0.0000,0.070,-0.936,3131.,3.157,1.1566
0.0000,0.073,-0.896,3139.,3.139,1.2044
0.0000,0.075,-0.873,3145.,3.128,1.2335
0.0000,0.075,-0.862,3147.,3.123,1.2471
0.0000,0.077,-0.845,3151.,3.116,1.2688
0.0000,0.078,-0.833,3154.,3.110,1.2838
0.0000,0.078,-0.829,3155.,3.109,1.2889
0.0000,0.078,-0.822,3156.,3.106,1.2982
0.0000,0.079,-0.820,3157.,3.105,1.3007
0.0000,0.079,-0.814,3158.,3.102,1.3079
0.0000,0.079,-0.810,3159.,3.100,1.3142
0.0000,0.079,-0.808,3160.,3.099,1.3164
0.0000,0.080,-0.803,3161.,3.097,1.3221
0.0000,0.080,-0.800,3162.,3.096,1.3274
0.0000,0.080,-0.796,3163.,3.094,1.3321
0.0000,0.081,-0.793,3164.,3.093,1.3367
0.0000,0.081,-0.788,3165.,3.091,1.3421
0.0000,0.081,-0.783,3166.,3.088,1.3496
0.0000,0.082,-0.775,3168.,3.085,1.3603
0.0000,0.083,-0.766,3171.,3.081,1.3723
0.0000,0.084,-0.756,3173.,3.077,1.3854
0.0000,0.084,-0.745,3176.,3.072,1.4003
0.0000,0.085,-0.733,3180.,3.067,1.4175
0.0000,0.087,-0.719,3184.,3.061,1.4370
0.0000,0.088,-0.702,3188.,3.054,1.4601
0.0000,0.090,-0.684,3194.,3.046,1.4868
0.0000,0.092,-0.662,3200.,3.037,1.5187
0.0000,0.094,-0.637,3206.,3.026,1.5568
0.0000,0.097,-0.608,3214.,3.013,1.6026
0.0000,0.100,-0.571,3223.,2.998,1.6608
0.0000,0.104,-0.526,3240.,2.980,1.7318
0.0000,0.109,-0.475,3261.,2.960,1.8141
0.0000,0.116,-0.414,3286.,2.937,1.9157
0.0000,0.123,-0.344,3318.,2.911,2.0356
0.0000,0.132,-0.265,3357.,2.882,2.1780
0.0000,0.142,-0.177,3398.,2.848,2.3533
0.0000,0.154,-0.082,3453.,2.815,2.5409
0.0000,0.166,0.009,3505.,2.784,2.7383
0.0000,0.180,0.108,3573.,2.751,2.9563
0.0000,0.198,0.234,3662.,2.710,3.2525
0.0000,0.219,0.366,3762.,2.669,3.5883
0.0000,0.243,0.501,3864.,2.626,3.9717
0.0000,0.270,0.631,3955.,2.582,4.4065
0.0000,0.075,-0.862,3147.,3.123,1.2471
0.0000,0.060,-1.089,3103.,3.227,0.9874
0.0000,0.064,-1.032,3113.,3.201,1.0475
0.0000,0.067,-0.976,3123.,3.175,1.1108
0.0000,0.070,-0.936,3131.,3.157,1.1566
0.0000,0.073,-0.896,3139.,3.139,1.2044
0.0000,0.075,-0.873,3145.,3.128,1.2335
0.0000,0.077,-0.845,3151.,3.116,1.2688
0.0000,0.078,-0.833,3154.,3.110,1.2838
0.0000,0.078,-0.829,3155.,3.109,1.2889
0.0000,0.078,-0.822,3156.,3.106,1.2982
0.0000,0.079,-0.820,3157.,3.105,1.3007
0.0000,0.079,-0.814,3158.,3.102,1.3079
0.0000,0.079,-0.810,3160.,3.100,1.3142
0.0000,0.079,-0.808,3160.,3.099,1.3164
0.0000,0.080,-0.803,3161.,3.097,1.3221
0.0000,0.080,-0.800,3162.,3.096,1.3274
0.0000,0.080,-0.796,3163.,3.094,1.3321
0.0000,0.081,-0.793,3164.,3.093,1.3367
0.0000,0.081,-0.788,3165.,3.091,1.3421
0.0000,0.081,-0.783,3166.,3.088,1.3496
0.0000,0.082,-0.775,3168.,3.085,1.3603
0.0000,0.083,-0.766,3171.,3.081,1.3723
0.0000,0.084,-0.756,3173.,3.077,1.3854
0.0000,0.084,-0.745,3176.,3.072,1.4003
0.0000,0.085,-0.733,3180.,3.067,1.4175
0.0000,0.087,-0.719,3184.,3.061,1.4370
0.0000,0.088,-0.702,3188.,3.054,1.4601
0.0000,0.090,-0.684,3194.,3.046,1.4868
0.0000,0.092,-0.662,3200.,3.037,1.5187
0.0000,0.094,-0.637,3206.,3.026,1.5568
0.0000,0.097,-0.608,3214.,3.013,1.6026
0.0000,0.100,-0.571,3224.,2.998,1.6608
0.0000,0.104,-0.526,3240.,2.980,1.7318
0.0000,0.109,-0.475,3261.,2.960,1.8141
0.0000,0.116,-0.414,3286.,2.937,1.9158
0.0000,0.123,-0.344,3318.,2.911,2.0356
0.0000,0.132,-0.265,3357.,2.882,2.1780
0.0000,0.142,-0.177,3398.,2.848,2.3533
0.0000,0.154,-0.082,3453.,2.815,2.5409
0.0000,0.166,0.009,3506.,2.784,2.7383
