age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.121,3044.,3.225,0.9894
0.0000,0.063,-1.070,3053.,3.202,1.0425
0.0000,0.066,-1.020,3062.,3.179,1.0985
0.0000,0.070,-0.973,3071.,3.158,1.1523
0.0000,0.070,-0.967,3072.,3.155,1.1591
0.0000,0.071,-0.949,3076.,3.147,1.1812
0.0000,0.073,-0.920,3082.,3.134,1.2162
0.0000,0.074,-0.905,3085.,3.127,1.2352
0.0000,0.075,-0.893,3088.,3.121,1.2502
0.0000,0.076,-0.886,3089.,3.118,1.2592
0.0000,0.076,-0.880,3090.,3.116,1.2663
0.0000,0.077,-0.874,3092.,3.113,1.2740
0.0000,0.077,-0.869,3093.,3.110,1.2811
0.0000,0.078,-0.861,3095.,3.107,1.2906
0.0000,0.078,-0.854,3096.,3.104,1.2996
0.0000,0.079,-0.847,3098.,3.101,1.3086
0.0000,0.080,-0.838,3100.,3.097,1.3209
0.0000,0.080,-0.829,3101.,3.093,1.3337
0.0000,0.081,-0.820,3103.,3.089,1.3461
0.0000,0.082,-0.810,3105.,3.084,1.3599
0.0000,0.083,-0.800,3106.,3.079,1.3746
0.0000,0.084,-0.789,3108.,3.074,1.3905
0.0000,0.085,-0.776,3110.,3.069,1.4090
0.0000,0.086,-0.762,3113.,3.062,1.4301
0.0000,0.087,-0.746,3116.,3.055,1.4543
0.0000,0.089,-0.727,3119.,3.046,1.4827
0.0000,0.091,-0.706,3123.,3.037,1.5152
0.0000,0.094,-0.681,3128.,3.026,1.5547
0.0000,0.097,-0.650,3134.,3.012,1.6045
0.0000,0.100,-0.613,3142.,2.996,1.6664
0.0000,0.105,-0.568,3156.,2.977,1.7402
0.0000,0.110,-0.516,3173.,2.956,1.8279
0.0000,0.117,-0.454,3195.,2.932,1.9335
0.0000,0.124,-0.384,3225.,2.905,2.0584
0.0000,0.133,-0.306,3258.,2.876,2.2057
0.0000,0.144,-0.218,3296.,2.841,2.3873
0.0000,0.156,-0.126,3345.,2.809,2.5767
0.0000,0.168,-0.036,3392.,2.777,2.7782
0.0000,0.183,0.068,3455.,2.742,3.0168
0.0000,0.202,0.191,3534.,2.700,3.3251
0.0000,0.224,0.321,3624.,2.658,3.6734
0.0000,0.249,0.456,3720.,2.615,4.0692
0.0000,0.277,0.589,3811.,2.570,4.5205
0.0000,0.309,0.719,3888.,2.523,5.0408
0.0000,0.344,0.842,3962.,2.478,5.5968
0.0000,0.073,-0.920,3082.,3.134,1.2162
0.0000,0.224,0.321,3624.,2.658,3.6734
0.0000,0.085,-0.776,3110.,3.069,1.4090
0.0000,0.060,-1.121,3044.,3.225,0.9894
0.0000,0.063,-1.070,3053.,3.202,1.0425
0.0000,0.066,-1.020,3062.,3.179,1.0985
0.0000,0.070,-0.973,3071.,3.158,1.1523
0.0000,0.070,-0.967,3072.,3.155,1.1591
0.0000,0.071,-0.949,3076.,3.146,1.1812
0.0000,0.074,-0.905,3085.,3.127,1.2352
0.0000,0.075,-0.893,3088.,3.121,1.2502
0.0000,0.076,-0.886,3089.,3.118,1.2592
0.0000,0.076,-0.880,3091.,3.116,1.2663
0.0000,0.077,-0.874,3092.,3.113,1.2740
0.0000,0.077,-0.869,3093.,3.110,1.2811
0.0000,0.078,-0.861,3095.,3.107,1.2906
0.0000,0.078,-0.854,3096.,3.104,1.2996
