age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.035,3204.,3.228,0.9863
0.0000,0.063,-0.979,3214.,3.202,1.0452
0.0000,0.067,-0.925,3225.,3.178,1.1051
0.0000,0.070,-0.881,3234.,3.158,1.1553
0.0000,0.073,-0.835,3244.,3.137,1.2099
0.0000,0.075,-0.807,3251.,3.125,1.2445
0.0000,0.076,-0.798,3254.,3.121,1.2558
0.0000,0.078,-0.777,3259.,3.111,1.2824
0.0000,0.078,-0.764,3262.,3.106,1.2987
0.0000,0.079,-0.759,3264.,3.104,1.3052
0.0000,0.080,-0.749,3267.,3.099,1.3179
0.0000,0.080,-0.743,3268.,3.097,1.3256
0.0000,0.080,-0.741,3269.,3.096,1.3291
0.0000,0.081,-0.736,3270.,3.094,1.3355
0.0000,0.081,-0.733,3271.,3.092,1.3396
0.0000,0.081,-0.731,3271.,3.092,1.3412
0.0000,0.081,-0.728,3272.,3.090,1.3452
0.0000,0.081,-0.726,3273.,3.089,1.3486
0.0000,0.082,-0.723,3274.,3.088,1.3519
0.0000,0.082,-0.721,3274.,3.087,1.3555
0.0000,0.082,-0.717,3276.,3.085,1.3603
0.0000,0.083,-0.712,3277.,3.083,1.3673
0.0000,0.083,-0.705,3279.,3.080,1.3760
0.0000,0.084,-0.698,3281.,3.077,1.3862
0.0000,0.084,-0.689,3284.,3.073,1.3978
0.0000,0.085,-0.679,3287.,3.069,1.4116
0.0000,0.086,-0.667,3290.,3.064,1.4273
0.0000,0.087,-0.654,3294.,3.059,1.4454
0.0000,0.088,-0.639,3299.,3.053,1.4663
0.0000,0.090,-0.622,3304.,3.045,1.4908
0.0000,0.092,-0.603,3309.,3.037,1.5198
0.0000,0.094,-0.579,3316.,3.027,1.5550
0.0000,0.096,-0.552,3323.,3.015,1.5978
0.0000,0.100,-0.520,3332.,3.002,1.6493
0.0000,0.104,-0.477,3348.,2.985,1.7154
0.0000,0.109,-0.426,3369.,2.965,1.7970
0.0000,0.115,-0.368,3392.,2.942,1.8945
0.0000,0.122,-0.300,3424.,2.917,2.0109
0.0000,0.130,-0.224,3462.,2.888,2.1489
0.0000,0.140,-0.138,3501.,2.855,2.3176
0.0000,0.152,-0.043,3558.,2.822,2.5049
0.0000,0.164,0.050,3614.,2.790,2.7028
0.0000,0.177,0.143,3678.,2.759,2.9055
0.0000,0.195,0.268,3767.,2.719,3.1942
0.0000,0.215,0.397,3865.,2.677,3.5221
0.0000,0.239,0.528,3962.,2.634,3.8962
0.0000,0.060,-1.035,3204.,3.228,0.9863
0.0000,0.063,-0.979,3214.,3.202,1.0452
0.0000,0.067,-0.925,3225.,3.178,1.1051
0.0000,0.070,-0.881,3234.,3.158,1.1553
0.0000,0.073,-0.835,3245.,3.137,1.2099
0.0000,0.075,-0.807,3251.,3.125,1.2445
0.0000,0.076,-0.798,3254.,3.121,1.2558
0.0000,0.078,-0.777,3259.,3.111,1.2824
0.0000,0.078,-0.764,3263.,3.106,1.2987
0.0000,0.079,-0.759,3264.,3.104,1.3052
0.0000,0.080,-0.749,3267.,3.099,1.3179
0.0000,0.080,-0.743,3268.,3.097,1.3256
0.0000,0.080,-0.741,3269.,3.096,1.3291
0.0000,0.081,-0.736,3270.,3.094,1.3355
0.0000,0.081,-0.733,3271.,3.092,1.3396
0.0000,0.081,-0.731,3272.,3.092,1.3413
0.0000,0.081,-0.728,3273.,3.090,1.3452
0.0000,0.081,-0.726,3273.,3.089,1.3486
0.0000,0.082,-0.723,3274.,3.088,1.3519
0.0000,0.082,-0.721,3275.,3.087,1.3555
0.0000,0.082,-0.717,3276.,3.085,1.3603
0.0000,0.083,-0.712,3277.,3.083,1.3673
0.0000,0.083,-0.705,3279.,3.080,1.3760
0.0000,0.084,-0.697,3281.,3.077,1.3862
0.0000,0.084,-0.689,3284.,3.073,1.3979
0.0000,0.085,-0.679,3287.,3.069,1.4116
0.0000,0.086,-0.667,3291.,3.064,1.4273
0.0000,0.087,-0.654,3295.,3.059,1.4454
0.0000,0.088,-0.639,3299.,3.053,1.4663
0.0000,0.090,-0.622,3304.,3.045,1.4908
0.0000,0.092,-0.603,3309.,3.037,1.5198
0.0000,0.094,-0.579,3316.,3.027,1.5550
0.0000,0.096,-0.552,3324.,3.015,1.5978
0.0000,0.100,-0.520,3333.,3.002,1.6493
0.0000,0.104,-0.477,3348.,2.985,1.7154
0.0000,0.109,-0.426,3369.,2.965,1.7970
0.0000,0.115,-0.368,3392.,2.942,1.8946
0.0000,0.122,-0.300,3424.,2.917,2.0109
0.0000,0.130,-0.224,3462.,2.888,2.1489
0.0000,0.140,-0.138,3501.,2.855,2.3176
0.0000,0.152,-0.043,3558.,2.822,2.5049
0.0000,0.164,0.050,3614.,2.790,2.7028
0.0000,0.177,0.143,3678.,2.759,2.9055
0.0000,0.195,0.268,3767.,2.719,3.1943
0.0000,0.215,0.397,3865.,2.677,3.5221
0.0000,0.239,0.528,3962.,2.634,3.8962
