age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.147,2999.,3.226,0.9891
0.0000,0.063,-1.095,3007.,3.201,1.0448
0.0000,0.066,-1.049,3014.,3.180,1.0963
0.0000,0.067,-1.039,3015.,3.175,1.1074
0.0000,0.069,-1.011,3020.,3.162,1.1406
0.0000,0.070,-0.996,3022.,3.155,1.1587
0.0000,0.072,-0.964,3028.,3.140,1.1983
0.0000,0.074,-0.942,3032.,3.131,1.2248
0.0000,0.075,-0.932,3034.,3.126,1.2375
0.0000,0.076,-0.920,3036.,3.120,1.2534
0.0000,0.076,-0.915,3037.,3.118,1.2590
0.0000,0.077,-0.906,3039.,3.114,1.2708
0.0000,0.077,-0.900,3040.,3.112,1.2786
0.0000,0.077,-0.899,3040.,3.111,1.2807
0.0000,0.078,-0.894,3041.,3.109,1.2869
0.0000,0.078,-0.890,3042.,3.107,1.2927
0.0000,0.078,-0.884,3043.,3.104,1.2998
0.0000,0.079,-0.877,3045.,3.101,1.3095
0.0000,0.079,-0.870,3046.,3.098,1.3194
0.0000,0.080,-0.862,3048.,3.094,1.3293
0.0000,0.081,-0.854,3049.,3.091,1.3400
0.0000,0.081,-0.845,3051.,3.087,1.3530
0.0000,0.082,-0.834,3054.,3.082,1.3673
0.0000,0.083,-0.823,3056.,3.077,1.3831
0.0000,0.084,-0.810,3059.,3.071,1.4011
0.0000,0.086,-0.795,3063.,3.065,1.4215
0.0000,0.087,-0.778,3067.,3.057,1.4459
0.0000,0.089,-0.759,3071.,3.049,1.4744
0.0000,0.091,-0.737,3077.,3.039,1.5067
0.0000,0.093,-0.710,3083.,3.028,1.5467
0.0000,0.096,-0.679,3091.,3.015,1.5956
0.0000,0.100,-0.641,3101.,2.998,1.6560
0.0000,0.104,-0.596,3115.,2.980,1.7283
0.0000,0.109,-0.544,3133.,2.959,1.8139
0.0000,0.116,-0.483,3158.,2.936,1.9164
0.0000,0.123,-0.414,3187.,2.910,2.0356
0.0000,0.132,-0.336,3224.,2.881,2.1782
0.0000,0.142,-0.245,3267.,2.847,2.3545
0.0000,0.154,-0.154,3313.,2.815,2.5406
0.0000,0.166,-0.059,3371.,2.783,2.7391
0.0000,0.180,0.043,3437.,2.750,2.9622
0.0000,0.198,0.171,3526.,2.708,3.2617
0.0000,0.219,0.304,3623.,2.667,3.6000
0.0000,0.243,0.441,3727.,2.624,3.9838
0.0000,0.270,0.574,3822.,2.580,4.4148
0.0000,0.301,0.703,3902.,2.534,4.9149
0.0000,0.219,0.304,3623.,2.667,3.6000
0.0000,0.060,-1.147,2999.,3.226,0.9891
0.0000,0.063,-1.095,3007.,3.201,1.0448
0.0000,0.066,-1.049,3014.,3.180,1.0963
