age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.335,2677.,3.216,1.0004
0.0000,0.062,-1.302,2681.,3.201,1.0353
0.0000,0.064,-1.268,2685.,3.184,1.0734
0.0000,0.066,-1.238,2689.,3.170,1.1083
0.0000,0.068,-1.213,2693.,3.159,1.1376
0.0000,0.069,-1.192,2696.,3.149,1.1626
0.0000,0.070,-1.184,2697.,3.145,1.1722
0.0000,0.071,-1.174,2698.,3.140,1.1846
0.0000,0.071,-1.168,2699.,3.138,1.1915
0.0000,0.072,-1.161,2700.,3.134,1.2006
0.0000,0.072,-1.159,2700.,3.134,1.2031
0.0000,0.072,-1.152,2701.,3.130,1.2119
0.0000,0.073,-1.146,2702.,3.127,1.2207
0.0000,0.073,-1.137,2702.,3.123,1.2315
0.0000,0.074,-1.126,2704.,3.118,1.2463
0.0000,0.075,-1.116,2705.,3.113,1.2596
0.0000,0.076,-1.107,2706.,3.109,1.2720
0.0000,0.077,-1.096,2707.,3.103,1.2876
0.0000,0.078,-1.082,2708.,3.097,1.3063
0.0000,0.079,-1.069,2710.,3.091,1.3254
0.0000,0.080,-1.054,2711.,3.084,1.3459
0.0000,0.081,-1.038,2713.,3.076,1.3690
0.0000,0.083,-1.020,2716.,3.068,1.3958
0.0000,0.085,-1.000,2718.,3.058,1.4266
0.0000,0.087,-0.976,2721.,3.047,1.4627
0.0000,0.090,-0.949,2725.,3.035,1.5053
0.0000,0.092,-0.918,2729.,3.021,1.5545
0.0000,0.096,-0.883,2733.,3.005,1.6126
0.0000,0.100,-0.843,2739.,2.987,1.6813
0.0000,0.105,-0.797,2749.,2.967,1.7621
0.0000,0.110,-0.744,2762.,2.945,1.8551
0.0000,0.117,-0.681,2781.,2.919,1.9679
0.0000,0.125,-0.610,2805.,2.892,2.0993
0.0000,0.135,-0.528,2835.,2.861,2.2573
0.0000,0.146,-0.441,2869.,2.827,2.4372
0.0000,0.157,-0.352,2909.,2.796,2.6267
0.0000,0.170,-0.250,2968.,2.763,2.8368
0.0000,0.188,-0.113,3056.,2.721,3.1315
0.0000,0.208,0.033,3161.,2.678,3.4633
0.0000,0.231,0.184,3275.,2.634,3.8388
0.0000,0.258,0.333,3387.,2.590,4.2608
