age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.427,2504.,3.192,1.0277
0.0000,0.061,-1.410,2505.,3.184,1.0473
0.0000,0.063,-1.379,2507.,3.169,1.0839
0.0000,0.065,-1.357,2508.,3.158,1.1099
0.0000,0.065,-1.347,2509.,3.153,1.1220
0.0000,0.067,-1.330,2510.,3.145,1.1432
0.0000,0.067,-1.319,2511.,3.140,1.1569
0.0000,0.068,-1.316,2511.,3.138,1.1612
0.0000,0.068,-1.308,2512.,3.134,1.1709
0.0000,0.068,-1.306,2512.,3.133,1.1733
0.0000,0.069,-1.300,2513.,3.130,1.1816
0.0000,0.069,-1.294,2513.,3.127,1.1897
0.0000,0.070,-1.285,2514.,3.123,1.2004
0.0000,0.070,-1.282,2514.,3.122,1.2045
0.0000,0.071,-1.271,2515.,3.116,1.2191
0.0000,0.072,-1.259,2516.,3.110,1.2360
0.0000,0.073,-1.244,2517.,3.103,1.2560
0.0000,0.074,-1.228,2518.,3.095,1.2778
0.0000,0.075,-1.213,2520.,3.088,1.2987
0.0000,0.076,-1.199,2521.,3.081,1.3191
0.0000,0.078,-1.183,2522.,3.074,1.3419
0.0000,0.079,-1.164,2524.,3.065,1.3696
0.0000,0.081,-1.141,2526.,3.054,1.4032
0.0000,0.084,-1.116,2529.,3.042,1.4420
0.0000,0.086,-1.088,2532.,3.029,1.4856
0.0000,0.089,-1.056,2535.,3.014,1.5374
0.0000,0.092,-1.020,2539.,2.998,1.5966
0.0000,0.097,-0.981,2541.,2.979,1.6673
0.0000,0.101,-0.937,2547.,2.959,1.7472
0.0000,0.107,-0.886,2556.,2.937,1.8396
0.0000,0.113,-0.826,2570.,2.912,1.9495
0.0000,0.121,-0.757,2590.,2.884,2.0788
0.0000,0.130,-0.678,2613.,2.854,2.2344
0.0000,0.140,-0.598,2640.,2.823,2.4014
0.0000,0.151,-0.515,2669.,2.791,2.5866
0.0000,0.164,-0.425,2701.,2.758,2.7998
0.0000,0.181,-0.293,2771.,2.715,3.0942
0.0000,0.201,-0.146,2863.,2.670,3.4344
0.0000,0.224,0.009,2971.,2.625,3.8136
0.0000,0.249,0.161,3075.,2.580,4.2416
0.0000,0.277,0.305,3170.,2.536,4.7074
0.0000,0.309,0.444,3260.,2.491,5.2308
0.0000,0.345,0.591,3364.,2.446,5.8147
0.0000,0.385,0.733,3455.,2.399,6.4910
0.0000,0.429,0.864,3533.,2.353,7.2174
0.0000,0.468,0.965,3587.,2.317,7.8656
0.0000,0.513,1.067,3638.,2.279,8.5996
0.0000,0.555,1.153,3677.,2.246,9.2919
0.0000,0.595,1.226,3706.,2.217,9.9501
0.0000,0.633,1.291,3731.,2.191,10.5793
0.0000,0.671,1.349,3750.,2.167,11.1892
0.0000,0.708,1.402,3767.,2.145,11.7930
0.0000,0.078,-1.183,2522.,3.074,1.3419
0.0000,0.468,0.965,3587.,2.317,7.8656
0.0000,0.468,0.965,3587.,2.317,7.8656
0.0000,0.060,-1.427,2504.,3.192,1.0277
0.0000,0.061,-1.410,2505.,3.184,1.0473
0.0000,0.063,-1.379,2507.,3.169,1.0839
0.0000,0.065,-1.357,2509.,3.158,1.1099
0.0000,0.065,-1.347,2509.,3.153,1.1220
0.0000,0.067,-1.330,2510.,3.145,1.1432
0.0000,0.067,-1.319,2511.,3.140,1.1569
0.0000,0.068,-1.316,2511.,3.138,1.1612
0.0000,0.068,-1.308,2512.,3.134,1.1709
0.0000,0.068,-1.306,2512.,3.133,1.1733
0.0000,0.069,-1.300,2513.,3.130,1.1816
0.0000,0.069,-1.294,2513.,3.127,1.1897
0.0000,0.070,-1.285,2514.,3.123,1.2004
0.0000,0.070,-1.282,2514.,3.122,1.2045
0.0000,0.071,-1.271,2515.,3.116,1.2191
0.0000,0.072,-1.259,2516.,3.110,1.2360
0.0000,0.073,-1.244,2517.,3.103,1.2560
0.0000,0.074,-1.228,2518.,3.095,1.2778
0.0000,0.075,-1.213,2520.,3.088,1.2987
0.0000,0.076,-1.199,2521.,3.081,1.3191
0.0000,0.079,-1.164,2524.,3.065,1.3696
0.0000,0.081,-1.141,2526.,3.054,1.4032
0.0000,0.084,-1.116,2529.,3.042,1.4421
0.0000,0.086,-1.088,2532.,3.029,1.4856
0.0000,0.089,-1.056,2535.,3.014,1.5375
0.0000,0.092,-1.020,2539.,2.998,1.5966
0.0000,0.097,-0.981,2542.,2.979,1.6673
0.0000,0.101,-0.936,2547.,2.959,1.7472
0.0000,0.107,-0.886,2556.,2.937,1.8396
0.0000,0.113,-0.826,2570.,2.912,1.9496
0.0000,0.121,-0.757,2590.,2.884,2.0788
0.0000,0.130,-0.678,2613.,2.854,2.2344
0.0000,0.140,-0.598,2640.,2.823,2.4014
0.0000,0.151,-0.515,2669.,2.791,2.5866
0.0000,0.164,-0.425,2702.,2.758,2.7998
0.0000,0.181,-0.293,2772.,2.715,3.0942
0.0000,0.201,-0.146,2863.,2.670,3.4344
0.0000,0.224,0.009,2971.,2.625,3.8136
0.0000,0.249,0.162,3076.,2.580,4.2416
0.0000,0.277,0.305,3170.,2.536,4.7074
0.0000,0.309,0.445,3260.,2.491,5.2308
0.0000,0.345,0.591,3364.,2.446,5.8147
0.0000,0.385,0.733,3455.,2.399,6.4910
