age,mass,Lbol,teff,logg,radius
0.0000,0.060,-0.855,3557.,3.230,0.9838
0.0000,0.064,-0.785,3577.,3.199,1.0552
0.0000,0.068,-0.725,3595.,3.173,1.1190
0.0000,0.070,-0.695,3604.,3.160,1.1524
0.0000,0.074,-0.641,3621.,3.136,1.2149
0.0000,0.077,-0.601,3634.,3.119,1.2625
0.0000,0.077,-0.593,3637.,3.116,1.2729
0.0000,0.079,-0.567,3645.,3.105,1.3051
0.0000,0.081,-0.545,3652.,3.095,1.3332
0.0000,0.081,-0.538,3655.,3.092,1.3426
0.0000,0.083,-0.521,3660.,3.085,1.3649
0.0000,0.083,-0.511,3664.,3.081,1.3784
0.0000,0.084,-0.507,3665.,3.079,1.3841
0.0000,0.084,-0.499,3668.,3.075,1.3949
0.0000,0.085,-0.494,3669.,3.073,1.4014
0.0000,0.085,-0.492,3670.,3.072,1.4045
0.0000,0.085,-0.488,3671.,3.071,1.4091
0.0000,0.085,-0.488,3671.,3.071,1.4101
0.0000,0.086,-0.485,3672.,3.069,1.4142
0.0000,0.086,-0.483,3673.,3.069,1.4169
0.0000,0.086,-0.482,3673.,3.068,1.4178
0.0000,0.086,-0.481,3673.,3.068,1.4197
0.0000,0.086,-0.480,3674.,3.068,1.4201
0.0000,0.086,-0.479,3674.,3.067,1.4216
0.0000,0.086,-0.478,3674.,3.067,1.4228
0.0000,0.086,-0.478,3674.,3.067,1.4231
0.0000,0.086,-0.477,3674.,3.066,1.4242
0.0000,0.086,-0.477,3675.,3.066,1.4253
0.0000,0.086,-0.476,3675.,3.066,1.4265
0.0000,0.086,-0.475,3675.,3.065,1.4279
0.0000,0.086,-0.474,3676.,3.065,1.4296
0.0000,0.087,-0.472,3676.,3.064,1.4319
0.0000,0.087,-0.470,3677.,3.063,1.4352
0.0000,0.087,-0.465,3678.,3.061,1.4414
0.0000,0.088,-0.461,3680.,3.059,1.4478
0.0000,0.088,-0.459,3680.,3.058,1.4509
0.0000,0.088,-0.455,3681.,3.056,1.4565
0.0000,0.089,-0.448,3683.,3.054,1.4658
0.0000,0.089,-0.440,3686.,3.050,1.4773
0.0000,0.090,-0.431,3689.,3.046,1.4912
0.0000,0.091,-0.420,3692.,3.042,1.5067
0.0000,0.092,-0.408,3695.,3.036,1.5255
0.0000,0.094,-0.390,3700.,3.028,1.5536
0.0000,0.096,-0.369,3707.,3.019,1.5857
0.0000,0.098,-0.345,3715.,3.009,1.6236
0.0000,0.100,-0.322,3722.,3.000,1.6601
0.0000,0.103,-0.297,3734.,2.990,1.6965
0.0000,0.107,-0.249,3758.,2.972,1.7706
0.0000,0.113,-0.195,3784.,2.951,1.8594
0.0000,0.119,-0.130,3818.,2.927,1.9677
0.0000,0.127,-0.055,3862.,2.899,2.0973
0.0000,0.137,0.029,3909.,2.868,2.2543
0.0000,0.148,0.123,3972.,2.835,2.4342
0.0000,0.137,0.029,3909.,2.868,2.2543
0.0000,0.077,-0.601,3634.,3.119,1.2625
0.0000,0.077,-0.593,3637.,3.116,1.2729
0.0000,0.086,-0.478,3674.,3.067,1.4231
0.0000,0.060,-0.855,3557.,3.230,0.9838
0.0000,0.064,-0.785,3577.,3.199,1.0552
0.0000,0.068,-0.725,3595.,3.173,1.1190
0.0000,0.070,-0.695,3604.,3.160,1.1524
0.0000,0.074,-0.641,3621.,3.136,1.2149
0.0000,0.079,-0.567,3645.,3.105,1.3051
0.0000,0.081,-0.545,3653.,3.095,1.3332
0.0000,0.081,-0.538,3655.,3.092,1.3426
0.0000,0.083,-0.521,3661.,3.085,1.3650
0.0000,0.083,-0.511,3664.,3.081,1.3784
0.0000,0.084,-0.507,3665.,3.079,1.3841
0.0000,0.084,-0.499,3668.,3.075,1.3949
0.0000,0.085,-0.494,3669.,3.073,1.4014
0.0000,0.085,-0.492,3670.,3.072,1.4045
0.0000,0.085,-0.488,3671.,3.071,1.4091
0.0000,0.085,-0.488,3671.,3.071,1.4101
0.0000,0.086,-0.485,3672.,3.069,1.4142
0.0000,0.086,-0.483,3673.,3.069,1.4169
0.0000,0.086,-0.482,3673.,3.068,1.4178
0.0000,0.086,-0.481,3673.,3.068,1.4197
0.0000,0.086,-0.480,3674.,3.068,1.4201
0.0000,0.086,-0.479,3674.,3.067,1.4216
0.0000,0.086,-0.478,3674.,3.067,1.4229
0.0000,0.086,-0.477,3674.,3.066,1.4242
0.0000,0.086,-0.477,3675.,3.066,1.4253
0.0000,0.086,-0.476,3675.,3.066,1.4265
0.0000,0.086,-0.475,3675.,3.065,1.4279
0.0000,0.086,-0.473,3676.,3.065,1.4296
0.0000,0.087,-0.472,3676.,3.064,1.4319
0.0000,0.087,-0.470,3677.,3.063,1.4352
0.0000,0.087,-0.465,3678.,3.061,1.4414
0.0000,0.088,-0.461,3680.,3.059,1.4478
0.0000,0.088,-0.459,3680.,3.058,1.4509
0.0000,0.088,-0.455,3681.,3.056,1.4565
0.0000,0.089,-0.448,3684.,3.054,1.4658
0.0000,0.089,-0.440,3686.,3.050,1.4773
0.0000,0.090,-0.431,3689.,3.046,1.4912
0.0000,0.091,-0.420,3692.,3.042,1.5067
0.0000,0.092,-0.408,3695.,3.036,1.5255
0.0000,0.094,-0.390,3700.,3.028,1.5536
0.0000,0.096,-0.369,3707.,3.019,1.5857
0.0000,0.098,-0.345,3715.,3.009,1.6236
0.0000,0.100,-0.322,3722.,3.000,1.6601
0.0000,0.103,-0.297,3734.,2.990,1.6965
0.0000,0.107,-0.249,3758.,2.972,1.7706
0.0000,0.113,-0.195,3784.,2.951,1.8594
0.0000,0.119,-0.130,3819.,2.927,1.9677
0.0000,0.127,-0.055,3862.,2.899,2.0974
0.0000,0.148,0.123,3972.,2.835,2.4342
0.0000,0.077,-0.593,3637.,3.116,1.2729
0.0000,0.137,0.029,3910.,2.868,2.2543
