age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.193,2918.,3.224,0.9912
0.0000,0.063,-1.144,2925.,3.201,1.0432
0.0000,0.066,-1.102,2932.,3.182,1.0899
0.0000,0.067,-1.090,2934.,3.176,1.1033
0.0000,0.069,-1.055,2939.,3.160,1.1451
0.0000,0.070,-1.041,2942.,3.153,1.1612
0.0000,0.072,-1.017,2946.,3.142,1.1911
0.0000,0.072,-1.007,2948.,3.137,1.2035
0.0000,0.073,-0.993,2950.,3.131,1.2202
0.0000,0.074,-0.987,2951.,3.128,1.2282
0.0000,0.075,-0.978,2953.,3.125,1.2387
0.0000,0.075,-0.975,2953.,3.123,1.2428
0.0000,0.075,-0.968,2955.,3.120,1.2523
0.0000,0.076,-0.961,2956.,3.117,1.2610
0.0000,0.076,-0.955,2957.,3.114,1.2690
0.0000,0.077,-0.948,2958.,3.111,1.2776
0.0000,0.078,-0.937,2961.,3.106,1.2925
0.0000,0.079,-0.927,2962.,3.101,1.3056
0.0000,0.079,-0.918,2964.,3.097,1.3182
0.0000,0.080,-0.906,2966.,3.092,1.3340
0.0000,0.081,-0.895,2969.,3.087,1.3487
0.0000,0.082,-0.883,2971.,3.082,1.3649
0.0000,0.083,-0.870,2974.,3.076,1.3833
0.0000,0.084,-0.855,2977.,3.069,1.4044
0.0000,0.086,-0.838,2981.,3.062,1.4284
0.0000,0.087,-0.819,2985.,3.053,1.4568
0.0000,0.089,-0.796,2990.,3.043,1.4899
0.0000,0.092,-0.770,2996.,3.032,1.5291
0.0000,0.095,-0.740,3002.,3.019,1.5764
0.0000,0.098,-0.706,3008.,3.004,1.6331
0.0000,0.102,-0.665,3017.,2.986,1.7010
0.0000,0.107,-0.616,3032.,2.966,1.7834
0.0000,0.113,-0.559,3051.,2.943,1.8797
0.0000,0.120,-0.493,3077.,2.918,1.9958
0.0000,0.129,-0.417,3109.,2.889,2.1319
0.0000,0.139,-0.329,3149.,2.856,2.2999
0.0000,0.150,-0.240,3191.,2.824,2.4822
0.0000,0.162,-0.147,3242.,2.792,2.6769
0.0000,0.175,-0.054,3294.,2.760,2.8857
0.0000,0.193,0.076,3382.,2.719,3.1782
0.0000,0.213,0.210,3478.,2.677,3.5074
0.0000,0.236,0.347,3579.,2.634,3.8791
0.0000,0.263,0.485,3679.,2.590,4.3016
0.0000,0.293,0.620,3768.,2.544,4.7899
0.0000,0.325,0.741,3838.,2.500,5.3075
0.0000,0.360,0.867,3925.,2.457,5.8691
0.0000,0.075,-0.975,2953.,3.123,1.2428
0.0000,0.076,-0.955,2957.,3.114,1.2690
0.0000,0.075,-0.975,2953.,3.123,1.2428
0.0000,0.060,-1.193,2918.,3.224,0.9912
0.0000,0.063,-1.144,2925.,3.201,1.0432
0.0000,0.066,-1.102,2932.,3.182,1.0899
0.0000,0.067,-1.090,2934.,3.176,1.1033
0.0000,0.069,-1.055,2939.,3.160,1.1451
0.0000,0.070,-1.041,2942.,3.153,1.1612
0.0000,0.072,-1.017,2946.,3.142,1.1911
0.0000,0.072,-1.007,2948.,3.137,1.2035
0.0000,0.073,-0.993,2950.,3.131,1.2202
0.0000,0.074,-0.987,2951.,3.128,1.2282
0.0000,0.075,-0.978,2953.,3.125,1.2388
0.0000,0.075,-0.968,2955.,3.120,1.2523
0.0000,0.076,-0.961,2956.,3.117,1.2610
0.0000,0.077,-0.948,2958.,3.111,1.2776
0.0000,0.078,-0.937,2961.,3.106,1.2925
0.0000,0.079,-0.927,2963.,3.101,1.3057
0.0000,0.079,-0.918,2964.,3.097,1.3182
0.0000,0.080,-0.906,2967.,3.092,1.3340
0.0000,0.081,-0.895,2969.,3.087,1.3487
0.0000,0.082,-0.883,2971.,3.082,1.3649
0.0000,0.083,-0.870,2974.,3.076,1.3833
0.0000,0.084,-0.855,2977.,3.069,1.4044
0.0000,0.086,-0.838,2981.,3.062,1.4284
0.0000,0.087,-0.819,2985.,3.053,1.4568
0.0000,0.089,-0.796,2990.,3.043,1.4899
0.0000,0.092,-0.770,2996.,3.032,1.5291
0.0000,0.095,-0.740,3002.,3.019,1.5764
0.0000,0.098,-0.706,3008.,3.004,1.6331
0.0000,0.102,-0.665,3018.,2.986,1.7010
0.0000,0.107,-0.616,3032.,2.966,1.7834
0.0000,0.113,-0.559,3051.,2.943,1.8797
0.0000,0.120,-0.493,3077.,2.918,1.9958
0.0000,0.129,-0.417,3109.,2.889,2.1319
0.0000,0.139,-0.329,3149.,2.856,2.2999
0.0000,0.150,-0.240,3191.,2.824,2.4822
0.0000,0.162,-0.147,3242.,2.792,2.6769
0.0000,0.175,-0.054,3294.,2.760,2.8857
0.0000,0.193,0.076,3382.,2.719,3.1782
0.0000,0.213,0.210,3478.,2.677,3.5074
0.0000,0.236,0.347,3579.,2.634,3.8791
0.0000,0.263,0.485,3679.,2.590,4.3016
0.0000,0.293,0.620,3768.,2.544,4.7899
0.0000,0.325,0.741,3838.,2.500,5.3075
0.0000,0.360,0.867,3924.,2.457,5.8691
0.0000,0.075,-0.975,2953.,3.123,1.2428
0.0000,0.076,-0.955,2957.,3.114,1.2690
0.0000,0.075,-0.975,2953.,3.123,1.2428
0.0000,0.162,-0.146,3243.,2.792,2.6769
0.0000,0.213,0.210,3478.,2.677,3.5075
0.0000,0.076,-0.955,2957.,3.114,1.2690
0.0000,0.063,-1.144,2925.,3.201,1.0432
0.0000,0.075,-0.975,2953.,3.123,1.2428
0.0000,0.060,-1.193,2918.,3.224,0.9912
0.0000,0.066,-1.102,2932.,3.182,1.0899
0.0000,0.067,-1.090,2934.,3.176,1.1033
0.0000,0.069,-1.055,2939.,3.160,1.1451
0.0000,0.070,-1.041,2942.,3.153,1.1612
0.0000,0.072,-1.016,2946.,3.142,1.1911
0.0000,0.072,-1.006,2948.,3.137,1.2035
0.0000,0.073,-0.993,2950.,3.131,1.2202
0.0000,0.074,-0.987,2951.,3.128,1.2282
0.0000,0.075,-0.978,2953.,3.125,1.2388
0.0000,0.075,-0.968,2955.,3.120,1.2523
0.0000,0.076,-0.961,2956.,3.117,1.2610
0.0000,0.077,-0.948,2959.,3.111,1.2776
0.0000,0.078,-0.937,2961.,3.106,1.2925
0.0000,0.079,-0.927,2963.,3.101,1.3057
0.0000,0.079,-0.918,2964.,3.097,1.3182
0.0000,0.080,-0.906,2967.,3.092,1.3341
0.0000,0.081,-0.895,2969.,3.087,1.3487
0.0000,0.082,-0.883,2972.,3.082,1.3649
0.0000,0.083,-0.870,2974.,3.076,1.3833
0.0000,0.084,-0.855,2978.,3.069,1.4044
