age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.034,3204.,3.228,0.9865
0.0000,0.063,-0.981,3213.,3.203,1.0430
0.0000,0.067,-0.930,3223.,3.180,1.0993
0.0000,0.070,-0.883,3233.,3.158,1.1538
0.0000,0.070,-0.881,3233.,3.158,1.1555
0.0000,0.070,-0.877,3234.,3.155,1.1611
0.0000,0.072,-0.848,3240.,3.142,1.1955
0.0000,0.075,-0.815,3248.,3.128,1.2360
0.0000,0.076,-0.794,3253.,3.118,1.2621
0.0000,0.077,-0.785,3255.,3.114,1.2740
0.0000,0.078,-0.768,3260.,3.107,1.2958
0.0000,0.079,-0.759,3262.,3.103,1.3065
0.0000,0.079,-0.753,3263.,3.101,1.3141
0.0000,0.080,-0.748,3265.,3.098,1.3215
0.0000,0.080,-0.746,3265.,3.097,1.3235
0.0000,0.080,-0.741,3266.,3.095,1.3299
0.0000,0.081,-0.738,3267.,3.094,1.3347
0.0000,0.081,-0.737,3268.,3.093,1.3363
0.0000,0.081,-0.733,3268.,3.092,1.3406
0.0000,0.081,-0.730,3269.,3.090,1.3445
0.0000,0.081,-0.728,3270.,3.089,1.3479
0.0000,0.082,-0.725,3271.,3.088,1.3515
0.0000,0.082,-0.721,3272.,3.087,1.3565
0.0000,0.082,-0.716,3273.,3.084,1.3638
0.0000,0.083,-0.709,3275.,3.081,1.3736
0.0000,0.084,-0.701,3278.,3.078,1.3845
0.0000,0.084,-0.691,3280.,3.074,1.3969
0.0000,0.085,-0.681,3283.,3.069,1.4112
0.0000,0.086,-0.669,3287.,3.064,1.4278
0.0000,0.087,-0.656,3291.,3.058,1.4463
0.0000,0.089,-0.641,3295.,3.052,1.4671
0.0000,0.090,-0.624,3300.,3.045,1.4916
0.0000,0.092,-0.604,3305.,3.036,1.5213
0.0000,0.094,-0.581,3311.,3.026,1.5568
0.0000,0.097,-0.553,3319.,3.014,1.6006
0.0000,0.100,-0.520,3327.,3.000,1.6532
0.0000,0.104,-0.479,3342.,2.984,1.7178
0.0000,0.109,-0.428,3362.,2.964,1.8004
0.0000,0.115,-0.370,3385.,2.941,1.8985
0.0000,0.122,-0.303,3414.,2.915,2.0159
0.0000,0.131,-0.227,3450.,2.887,2.1550
0.0000,0.141,-0.142,3489.,2.854,2.3254
0.0000,0.152,-0.048,3541.,2.821,2.5133
0.0000,0.165,0.044,3595.,2.788,2.7118
0.0000,0.177,0.138,3658.,2.757,2.9179
0.0000,0.196,0.260,3743.,2.717,3.2091
0.0000,0.216,0.389,3838.,2.675,3.5395
0.0000,0.240,0.520,3935.,2.632,3.9165
0.0000,0.083,-0.708,3276.,3.081,1.3736
0.0000,0.060,-1.034,3204.,3.228,0.9865
0.0000,0.063,-0.981,3213.,3.203,1.0430
0.0000,0.067,-0.930,3223.,3.180,1.0993
0.0000,0.070,-0.883,3233.,3.158,1.1538
0.0000,0.070,-0.881,3233.,3.158,1.1555
0.0000,0.070,-0.877,3234.,3.155,1.1611
0.0000,0.072,-0.848,3240.,3.142,1.1955
0.0000,0.075,-0.815,3248.,3.128,1.2360
0.0000,0.076,-0.794,3253.,3.118,1.2621
0.0000,0.077,-0.785,3255.,3.114,1.2740
0.0000,0.078,-0.768,3260.,3.107,1.2958
0.0000,0.079,-0.759,3262.,3.103,1.3065
0.0000,0.079,-0.753,3263.,3.101,1.3141
0.0000,0.080,-0.748,3265.,3.098,1.3215
0.0000,0.080,-0.746,3265.,3.097,1.3235
0.0000,0.080,-0.741,3266.,3.095,1.3299
0.0000,0.081,-0.738,3268.,3.094,1.3347
0.0000,0.081,-0.737,3268.,3.093,1.3363
0.0000,0.081,-0.733,3269.,3.092,1.3406
0.0000,0.081,-0.730,3269.,3.090,1.3445
0.0000,0.081,-0.728,3270.,3.089,1.3479
0.0000,0.082,-0.725,3271.,3.088,1.3515
0.0000,0.082,-0.721,3272.,3.087,1.3565
0.0000,0.082,-0.716,3274.,3.084,1.3638
0.0000,0.084,-0.700,3278.,3.078,1.3845
0.0000,0.084,-0.691,3280.,3.074,1.3969
0.0000,0.085,-0.681,3283.,3.069,1.4112
0.0000,0.086,-0.669,3287.,3.064,1.4278
0.0000,0.087,-0.656,3291.,3.058,1.4463
0.0000,0.089,-0.641,3295.,3.052,1.4671
0.0000,0.090,-0.624,3300.,3.045,1.4916
0.0000,0.092,-0.604,3305.,3.036,1.5213
0.0000,0.094,-0.581,3312.,3.026,1.5568
0.0000,0.097,-0.553,3319.,3.014,1.6006
