age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.376,2599.,3.206,1.0121
0.0000,0.062,-1.348,2601.,3.193,1.0424
0.0000,0.065,-1.303,2605.,3.170,1.0957
0.0000,0.067,-1.277,2607.,3.158,1.1274
0.0000,0.067,-1.265,2608.,3.152,1.1417
0.0000,0.069,-1.249,2609.,3.144,1.1611
0.0000,0.069,-1.245,2610.,3.142,1.1664
0.0000,0.070,-1.233,2611.,3.137,1.1819
0.0000,0.070,-1.230,2611.,3.135,1.1861
0.0000,0.071,-1.222,2612.,3.131,1.1965
0.0000,0.071,-1.219,2612.,3.130,1.1997
0.0000,0.071,-1.212,2613.,3.126,1.2098
0.0000,0.072,-1.204,2613.,3.122,1.2200
0.0000,0.073,-1.196,2614.,3.119,1.2307
0.0000,0.073,-1.187,2615.,3.114,1.2426
0.0000,0.074,-1.176,2616.,3.109,1.2575
0.0000,0.075,-1.163,2617.,3.103,1.2751
0.0000,0.076,-1.150,2619.,3.096,1.2934
0.0000,0.077,-1.135,2620.,3.090,1.3134
0.0000,0.079,-1.120,2622.,3.082,1.3357
0.0000,0.080,-1.102,2624.,3.074,1.3610
0.0000,0.082,-1.082,2626.,3.065,1.3901
0.0000,0.084,-1.060,2628.,3.054,1.4227
0.0000,0.086,-1.035,2631.,3.043,1.4617
0.0000,0.089,-1.006,2635.,3.029,1.5065
0.0000,0.092,-0.974,2639.,3.014,1.5592
0.0000,0.095,-0.937,2643.,2.998,1.6214
0.0000,0.100,-0.896,2648.,2.979,1.6937
0.0000,0.105,-0.849,2655.,2.958,1.7775
0.0000,0.110,-0.794,2668.,2.935,1.8766
0.0000,0.117,-0.730,2685.,2.909,1.9930
0.0000,0.126,-0.658,2708.,2.880,2.1308
0.0000,0.136,-0.577,2733.,2.849,2.2940
0.0000,0.146,-0.495,2762.,2.818,2.4686
0.0000,0.158,-0.409,2794.,2.784,2.6671
0.0000,0.172,-0.303,2847.,2.748,2.9001
0.0000,0.190,-0.170,2923.,2.706,3.2054
0.0000,0.211,-0.024,3020.,2.662,3.5518
0.0000,0.235,0.130,3132.,2.617,3.9437
0.0000,0.262,0.277,3235.,2.573,4.3802
0.0000,0.291,0.416,3328.,2.529,4.8597
0.0000,0.324,0.557,3420.,2.482,5.4112
0.0000,0.361,0.697,3516.,2.438,6.0127
0.0000,0.402,0.829,3600.,2.393,6.6755
0.0000,0.439,0.935,3662.,2.356,7.2851
0.0000,0.481,1.037,3718.,2.319,7.9550
0.0000,0.520,1.124,3760.,2.286,8.5912
0.0000,0.557,1.198,3794.,2.257,9.1898
0.0000,0.592,1.263,3822.,2.232,9.7589
0.0000,0.627,1.321,3845.,2.208,10.3163
0.0000,0.065,-1.303,2605.,3.170,1.0957
0.0000,0.086,-1.035,2631.,3.043,1.4617
0.0000,0.262,0.277,3235.,2.573,4.3802
0.0000,0.105,-0.849,2656.,2.958,1.7775
0.0000,0.062,-1.348,2601.,3.193,1.0425
0.0000,0.073,-1.196,2614.,3.118,1.2307
0.0000,0.060,-1.376,2599.,3.206,1.0121
0.0000,0.067,-1.276,2607.,3.158,1.1274
0.0000,0.067,-1.265,2608.,3.152,1.1417
0.0000,0.069,-1.249,2609.,3.144,1.1611
0.0000,0.069,-1.245,2610.,3.142,1.1664
0.0000,0.070,-1.233,2611.,3.137,1.1819
0.0000,0.070,-1.230,2611.,3.135,1.1861
0.0000,0.071,-1.222,2612.,3.131,1.1965
0.0000,0.071,-1.219,2612.,3.130,1.1997
0.0000,0.071,-1.212,2613.,3.126,1.2098
0.0000,0.072,-1.204,2613.,3.122,1.2200
0.0000,0.073,-1.187,2615.,3.114,1.2426
0.0000,0.074,-1.176,2616.,3.109,1.2575
0.0000,0.075,-1.163,2617.,3.103,1.2751
