age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.313,2702.,3.211,1.0063
0.0000,0.062,-1.284,2705.,3.197,1.0378
0.0000,0.064,-1.248,2709.,3.179,1.0798
0.0000,0.067,-1.212,2712.,3.162,1.1219
0.0000,0.068,-1.195,2714.,3.154,1.1425
0.0000,0.069,-1.181,2716.,3.147,1.1601
0.0000,0.070,-1.171,2717.,3.142,1.1729
0.0000,0.070,-1.166,2717.,3.140,1.1786
0.0000,0.070,-1.166,2717.,3.140,1.1792
0.0000,0.070,-1.160,2718.,3.137,1.1864
0.0000,0.071,-1.158,2718.,3.136,1.1893
0.0000,0.071,-1.153,2718.,3.134,1.1952
0.0000,0.071,-1.149,2719.,3.132,1.2011
0.0000,0.072,-1.141,2720.,3.128,1.2112
0.0000,0.072,-1.138,2720.,3.127,1.2153
0.0000,0.072,-1.132,2721.,3.124,1.2223
0.0000,0.073,-1.120,2722.,3.118,1.2378
0.0000,0.074,-1.107,2724.,3.112,1.2560
0.0000,0.076,-1.093,2725.,3.105,1.2746
0.0000,0.077,-1.079,2727.,3.099,1.2942
0.0000,0.078,-1.064,2729.,3.092,1.3149
0.0000,0.079,-1.051,2730.,3.085,1.3333
0.0000,0.080,-1.036,2732.,3.079,1.3542
0.0000,0.082,-1.020,2734.,3.071,1.3782
0.0000,0.083,-1.000,2736.,3.062,1.4069
0.0000,0.085,-0.978,2739.,3.052,1.4393
0.0000,0.087,-0.955,2742.,3.041,1.4762
0.0000,0.090,-0.927,2746.,3.028,1.5204
0.0000,0.093,-0.896,2750.,3.014,1.5696
0.0000,0.096,-0.860,2755.,2.997,1.6308
0.0000,0.101,-0.819,2761.,2.979,1.7028
0.0000,0.106,-0.771,2770.,2.958,1.7881
0.0000,0.112,-0.714,2784.,2.934,1.8891
0.0000,0.119,-0.650,2802.,2.908,2.0082
0.0000,0.128,-0.577,2825.,2.879,2.1486
0.0000,0.138,-0.495,2853.,2.847,2.3154
0.0000,0.149,-0.409,2884.,2.814,2.5010
0.0000,0.160,-0.321,2921.,2.782,2.6972
