age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.189,2922.,3.222,0.9929
0.0000,0.063,-1.147,2928.,3.203,1.0369
0.0000,0.065,-1.110,2934.,3.185,1.0786
0.0000,0.067,-1.076,2939.,3.170,1.1174
0.0000,0.068,-1.059,2942.,3.162,1.1372
0.0000,0.069,-1.047,2944.,3.156,1.1523
0.0000,0.070,-1.037,2945.,3.152,1.1632
0.0000,0.072,-1.016,2949.,3.142,1.1898
0.0000,0.072,-1.005,2951.,3.137,1.2028
0.0000,0.073,-0.996,2952.,3.133,1.2143
0.0000,0.074,-0.988,2954.,3.129,1.2245
0.0000,0.074,-0.979,2955.,3.125,1.2353
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.075,-0.965,2958.,3.119,1.2534
0.0000,0.076,-0.956,2959.,3.115,1.2648
0.0000,0.077,-0.946,2961.,3.110,1.2786
0.0000,0.078,-0.936,2963.,3.105,1.2920
0.0000,0.078,-0.925,2965.,3.100,1.3069
0.0000,0.079,-0.917,2967.,3.097,1.3170
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.080,-0.910,2968.,3.094,1.3260
0.0000,0.080,-0.900,2970.,3.089,1.3398
0.0000,0.081,-0.887,2972.,3.083,1.3576
0.0000,0.082,-0.875,2975.,3.078,1.3754
0.0000,0.084,-0.860,2978.,3.071,1.3956
0.0000,0.085,-0.844,2981.,3.064,1.4191
0.0000,0.087,-0.825,2985.,3.056,1.4464
0.0000,0.089,-0.804,2990.,3.046,1.4769
0.0000,0.091,-0.780,2995.,3.036,1.5141
0.0000,0.093,-0.751,3000.,3.023,1.5584
0.0000,0.097,-0.718,3006.,3.008,1.6133
0.0000,0.101,-0.681,3013.,2.992,1.6764
0.0000,0.105,-0.634,3024.,2.972,1.7550
0.0000,0.111,-0.581,3039.,2.950,1.8473
0.0000,0.118,-0.519,3061.,2.925,1.9565
0.0000,0.125,-0.449,3087.,2.898,2.0845
0.0000,0.135,-0.368,3121.,2.868,2.2387
0.0000,0.146,-0.278,3161.,2.833,2.4226
0.0000,0.158,-0.189,3201.,2.801,2.6146
0.0000,0.170,-0.101,3249.,2.770,2.8092
0.0000,0.187,0.014,3312.,2.730,3.0863
0.0000,0.206,0.139,3389.,2.688,3.4055
0.0000,0.229,0.274,3482.,2.646,3.7667
0.0000,0.254,0.411,3578.,2.602,4.1753
0.0000,0.283,0.547,3669.,2.556,4.6493
0.0000,0.315,0.675,3744.,2.511,5.1667
0.0000,0.351,0.805,3830.,2.466,5.7395
0.0000,0.383,0.909,3897.,2.430,6.2454
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.077,-0.946,2961.,3.110,1.2786
0.0000,0.074,-0.988,2954.,3.129,1.2245
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.060,-1.189,2922.,3.222,0.9929
0.0000,0.063,-1.147,2928.,3.203,1.0369
0.0000,0.065,-1.110,2934.,3.185,1.0786
0.0000,0.067,-1.076,2939.,3.170,1.1175
0.0000,0.068,-1.059,2942.,3.162,1.1372
0.0000,0.069,-1.047,2944.,3.156,1.1523
0.0000,0.070,-1.037,2945.,3.152,1.1632
0.0000,0.072,-1.016,2949.,3.142,1.1898
0.0000,0.072,-1.005,2951.,3.137,1.2028
0.0000,0.073,-0.996,2952.,3.133,1.2143
0.0000,0.074,-0.979,2955.,3.125,1.2353
0.0000,0.075,-0.965,2958.,3.119,1.2534
0.0000,0.076,-0.956,2959.,3.115,1.2648
0.0000,0.078,-0.936,2963.,3.105,1.2920
0.0000,0.078,-0.925,2965.,3.100,1.3069
0.0000,0.079,-0.917,2967.,3.097,1.3170
0.0000,0.080,-0.910,2968.,3.094,1.3260
0.0000,0.080,-0.900,2970.,3.089,1.3398
0.0000,0.081,-0.887,2973.,3.083,1.3576
0.0000,0.082,-0.875,2975.,3.078,1.3754
0.0000,0.084,-0.860,2978.,3.071,1.3957
0.0000,0.085,-0.844,2981.,3.064,1.4191
0.0000,0.087,-0.825,2985.,3.056,1.4464
0.0000,0.089,-0.804,2990.,3.046,1.4769
0.0000,0.091,-0.779,2995.,3.036,1.5141
0.0000,0.093,-0.751,3001.,3.023,1.5584
0.0000,0.097,-0.718,3006.,3.008,1.6133
0.0000,0.101,-0.681,3013.,2.991,1.6764
0.0000,0.105,-0.634,3024.,2.972,1.7550
0.0000,0.111,-0.581,3040.,2.950,1.8473
0.0000,0.118,-0.519,3061.,2.925,1.9565
0.0000,0.125,-0.449,3087.,2.898,2.0845
0.0000,0.135,-0.368,3121.,2.868,2.2387
0.0000,0.146,-0.278,3161.,2.833,2.4226
0.0000,0.158,-0.189,3201.,2.801,2.6146
0.0000,0.170,-0.101,3249.,2.770,2.8092
0.0000,0.187,0.014,3312.,2.730,3.0863
0.0000,0.206,0.139,3389.,2.688,3.4056
0.0000,0.229,0.274,3482.,2.646,3.7667
0.0000,0.254,0.411,3578.,2.602,4.1753
0.0000,0.283,0.547,3669.,2.556,4.6493
0.0000,0.315,0.675,3744.,2.511,5.1667
0.0000,0.351,0.805,3830.,2.466,5.7395
0.0000,0.383,0.909,3897.,2.430,6.2454
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.077,-0.946,2961.,3.110,1.2786
0.0000,0.074,-0.988,2954.,3.129,1.2245
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.170,-0.101,3250.,2.770,2.8092
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.077,-0.946,2961.,3.110,1.2786
0.0000,0.074,-0.988,2954.,3.129,1.2245
0.0000,0.080,-0.900,2970.,3.089,1.3398
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.060,-1.189,2922.,3.222,0.9929
0.0000,0.063,-1.147,2928.,3.203,1.0369
0.0000,0.065,-1.110,2934.,3.185,1.0787
0.0000,0.067,-1.076,2939.,3.170,1.1175
0.0000,0.068,-1.059,2942.,3.162,1.1372
0.0000,0.069,-1.046,2944.,3.156,1.1523
0.0000,0.070,-1.037,2945.,3.152,1.1632
0.0000,0.072,-1.016,2949.,3.142,1.1898
0.0000,0.072,-1.005,2951.,3.137,1.2028
0.0000,0.073,-0.996,2952.,3.133,1.2143
0.0000,0.074,-0.979,2955.,3.125,1.2353
0.0000,0.075,-0.965,2958.,3.119,1.2534
0.0000,0.076,-0.956,2960.,3.115,1.2649
0.0000,0.078,-0.936,2963.,3.105,1.2920
0.0000,0.078,-0.924,2965.,3.100,1.3069
0.0000,0.079,-0.917,2967.,3.097,1.3170
0.0000,0.080,-0.910,2968.,3.094,1.3260
0.0000,0.081,-0.887,2973.,3.083,1.3576
0.0000,0.082,-0.874,2975.,3.078,1.3754
0.0000,0.084,-0.860,2978.,3.071,1.3957
0.0000,0.085,-0.844,2981.,3.064,1.4191
0.0000,0.087,-0.825,2985.,3.056,1.4464
0.0000,0.089,-0.804,2990.,3.046,1.4770
0.0000,0.091,-0.779,2995.,3.036,1.5142
0.0000,0.093,-0.751,3001.,3.023,1.5584
0.0000,0.097,-0.718,3006.,3.008,1.6133
0.0000,0.101,-0.680,3013.,2.991,1.6765
0.0000,0.105,-0.634,3024.,2.972,1.7551
0.0000,0.111,-0.581,3040.,2.950,1.8473
0.0000,0.118,-0.519,3061.,2.925,1.9565
0.0000,0.125,-0.449,3087.,2.898,2.0846
0.0000,0.135,-0.368,3121.,2.868,2.2387
0.0000,0.146,-0.277,3161.,2.833,2.4227
0.0000,0.158,-0.189,3202.,2.801,2.6146
0.0000,0.187,0.014,3312.,2.730,3.0863
0.0000,0.206,0.140,3389.,2.688,3.4056
0.0000,0.229,0.274,3482.,2.646,3.7667
0.0000,0.254,0.411,3578.,2.602,4.1753
0.0000,0.283,0.547,3669.,2.556,4.6493
0.0000,0.315,0.674,3744.,2.511,5.1667
0.0000,0.351,0.805,3830.,2.466,5.7394
0.0000,0.383,0.908,3896.,2.430,6.2453
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.077,-0.946,2961.,3.110,1.2786
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.075,-0.972,2957.,3.122,1.2450
0.0000,0.170,-0.100,3250.,2.770,2.8093
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.074,-0.988,2954.,3.129,1.2245
0.0000,0.077,-0.946,2961.,3.110,1.2786
0.0000,0.080,-0.900,2970.,3.089,1.3399
0.0000,0.075,-0.972,2957.,3.122,1.2451
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.075,-0.972,2957.,3.122,1.2451
0.0000,0.118,-0.519,3061.,2.925,1.9565
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.075,-0.972,2957.,3.122,1.2451
0.0000,0.077,-0.946,2962.,3.110,1.2786
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.067,-1.076,2939.,3.170,1.1175
0.0000,0.075,-0.972,2957.,3.122,1.2451
0.0000,0.074,-0.979,2956.,3.125,1.2353
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.075,-0.972,2957.,3.122,1.2451
0.0000,0.079,-0.915,2967.,3.096,1.3201
0.0000,0.146,-0.277,3162.,2.833,2.4227
0.0000,0.229,0.275,3483.,2.646,3.7668
0.0000,0.077,-0.946,2962.,3.110,1.2786
