age,mass,Lbol,teff,logg,radius
0.0000,0.060,-0.975,3318.,3.229,0.9853
0.0000,0.064,-0.911,3331.,3.200,1.0514
0.0000,0.068,-0.851,3345.,3.173,1.1183
0.0000,0.070,-0.819,3352.,3.159,1.1541
0.0000,0.073,-0.775,3364.,3.139,1.2065
0.0000,0.075,-0.744,3373.,3.125,1.2444
0.0000,0.076,-0.735,3375.,3.121,1.2552
0.0000,0.078,-0.713,3381.,3.112,1.2817
0.0000,0.079,-0.697,3386.,3.105,1.3028
0.0000,0.079,-0.692,3388.,3.103,1.3089
0.0000,0.080,-0.680,3391.,3.098,1.3239
0.0000,0.080,-0.677,3392.,3.097,1.3274
0.0000,0.081,-0.669,3395.,3.093,1.3390
0.0000,0.081,-0.662,3397.,3.090,1.3469
0.0000,0.082,-0.660,3398.,3.089,1.3502
0.0000,0.082,-0.656,3399.,3.087,1.3558
0.0000,0.082,-0.655,3399.,3.087,1.3572
0.0000,0.082,-0.651,3400.,3.086,1.3613
0.0000,0.082,-0.649,3401.,3.085,1.3644
0.0000,0.083,-0.648,3401.,3.084,1.3656
0.0000,0.083,-0.646,3402.,3.083,1.3685
0.0000,0.083,-0.644,3402.,3.082,1.3712
0.0000,0.083,-0.642,3403.,3.082,1.3737
0.0000,0.083,-0.640,3404.,3.081,1.3766
0.0000,0.083,-0.638,3404.,3.080,1.3798
0.0000,0.084,-0.635,3405.,3.078,1.3839
0.0000,0.084,-0.630,3406.,3.077,1.3896
0.0000,0.084,-0.626,3408.,3.074,1.3964
0.0000,0.085,-0.619,3410.,3.071,1.4056
0.0000,0.086,-0.611,3412.,3.068,1.4167
0.0000,0.086,-0.601,3415.,3.064,1.4301
0.0000,0.087,-0.590,3418.,3.059,1.4451
0.0000,0.088,-0.578,3422.,3.054,1.4621
0.0000,0.089,-0.565,3426.,3.049,1.4812
0.0000,0.091,-0.550,3430.,3.042,1.5037
0.0000,0.092,-0.531,3436.,3.034,1.5311
0.0000,0.095,-0.509,3442.,3.025,1.5643
0.0000,0.097,-0.484,3449.,3.014,1.6036
0.0000,0.100,-0.453,3458.,3.001,1.6543
0.0000,0.104,-0.413,3473.,2.985,1.7169
0.0000,0.109,-0.363,3493.,2.965,1.7970
0.0000,0.115,-0.304,3520.,2.943,1.8941
0.0000,0.122,-0.236,3553.,2.917,2.0105
0.0000,0.130,-0.161,3588.,2.889,2.1487
0.0000,0.140,-0.073,3636.,2.856,2.3164
0.0000,0.152,0.020,3690.,2.822,2.5053
0.0000,0.164,0.116,3753.,2.790,2.7037
0.0000,0.177,0.206,3815.,2.760,2.9039
0.0000,0.194,0.326,3900.,2.720,3.1881
0.0000,0.083,-0.640,3404.,3.081,1.3766
0.0000,0.164,0.116,3753.,2.790,2.7037
0.0000,0.177,0.207,3815.,2.760,2.9039
0.0000,0.060,-0.975,3318.,3.229,0.9853
0.0000,0.064,-0.911,3331.,3.200,1.0514
0.0000,0.068,-0.851,3345.,3.173,1.1183
0.0000,0.070,-0.819,3352.,3.159,1.1541
0.0000,0.073,-0.775,3364.,3.139,1.2065
0.0000,0.075,-0.743,3373.,3.125,1.2444
0.0000,0.076,-0.735,3375.,3.121,1.2552
0.0000,0.078,-0.713,3381.,3.112,1.2817
0.0000,0.079,-0.697,3386.,3.105,1.3028
0.0000,0.079,-0.692,3388.,3.103,1.3089
0.0000,0.080,-0.680,3391.,3.098,1.3239
0.0000,0.080,-0.677,3392.,3.097,1.3274
0.0000,0.081,-0.669,3395.,3.093,1.3390
0.0000,0.081,-0.662,3397.,3.090,1.3469
0.0000,0.082,-0.660,3398.,3.089,1.3502
0.0000,0.082,-0.656,3399.,3.087,1.3558
0.0000,0.082,-0.655,3399.,3.087,1.3572
0.0000,0.082,-0.651,3400.,3.086,1.3613
0.0000,0.082,-0.649,3401.,3.085,1.3644
0.0000,0.083,-0.648,3401.,3.084,1.3656
0.0000,0.083,-0.646,3402.,3.083,1.3685
0.0000,0.083,-0.644,3402.,3.082,1.3712
0.0000,0.083,-0.642,3403.,3.082,1.3737
0.0000,0.083,-0.638,3404.,3.080,1.3798
0.0000,0.084,-0.635,3405.,3.078,1.3839
0.0000,0.084,-0.630,3406.,3.077,1.3896
0.0000,0.084,-0.625,3408.,3.074,1.3964
0.0000,0.085,-0.619,3410.,3.071,1.4056
0.0000,0.086,-0.611,3412.,3.068,1.4167
0.0000,0.086,-0.601,3415.,3.064,1.4301
